" Cushing, OK WTI Crude oil Spot Price FOB (Dollars per Barrel) ", Europe Brent Spot Price FOB (Dollars per Barrel) , U.S. Field Production of Crude Oil (Thousand Barrels) , Alaska Field Production of Crude Oil (Thousand Barrels) , U.S. Imports of Crude Oil (Thousand Barrels) , U.S. Percent of Crude Oil Stocks Held in SPR (Percent) , U.S. Percent of Total Petroleum Stocks Held in SPR (Percent) 
101.78,104.58,350052.0,13246.0,181770.0,56.7,32.2
28.79,27.74,181242.0,29934.0,281621.0,65.9,37.5
45.66,44.73,267097.0,15433.0,240691.0,58.6,33.9
65.49,62.99,156480.0,25779.0,302761.0,67.9,39.9
22.86,21.25,233931.0,57786.0,192572.0,62.5,35.6
14.91,14.36,196754.0,36375.0,278595.0,61.6,34.1
32.95,31.18,178412.0,30505.0,267623.0,68.6,39.8
17.89,16.78,207339.0,44683.0,225954.0,62.4,34.7
14.14,13.02,240700.0,60800.0,152093.0,62.4,34.2
39.63,40.91,327623.0,13252.0,161926.0,56.3,31.1
103.59,106.77,274273.0,13094.0,236534.0,67.1,38.7
63.8,61.96,150926.0,19650.0,321298.0,67.4,38.5
19.86,18.73,226082.0,57449.0,185133.0,62.3,34.8
21.69,19.77,226801.0,53657.0,205988.0,62.2,34.5
18.79,18.16,228178.0,55457.0,184640.0,62.5,35.3
13.0,11.04,184198.0,35037.0,268204.0,62.9,34.0
94.77,92.41,151021.0,22188.0,300115.0,71.1,41.6
70.84,69.78,159667.0,24838.0,319400.0,66.9,40.0
22.18,20.85,182400.0,38746.0,208159.0,65.5,38.0
51.38,59.41,367924.0,15383.0,234307.0,59.1,33.9
20.25,18.67,206439.0,47610.0,207851.0,62.5,36.0
16.42,15.23,198363.0,45130.0,208661.0,63.5,37.2
20.12,18.63,242303.0,61174.0,177604.0,62.3,35.2
72.36,70.76,154060.0,19957.0,319805.0,69.5,40.6
59.04,62.28,277891.0,12786.0,156503.0,56.4,32.9
59.0,57.52,162854.0,24133.0,321697.0,68.7,40.1
33.88,33.14,172731.0,26767.0,284528.0,67.2,37.4
69.98,76.98,323491.0,15367.0,242857.0,60.3,35.3
93.86,107.79,237597.0,16077.0,222248.0,66.9,39.7
26.1,25.47,184716.0,32806.0,255266.0,66.6,38.0
92.97,92.18,158566.0,22027.0,312536.0,71.5,42.1
19.8,18.46,194575.0,38283.0,265199.0,65.0,35.4
85.52,112.83,168411.0,17544.0,267410.0,69.3,39.7
59.03,57.3,166684.0,21008.0,272716.0,67.9,39.8
91.69,90.93,158427.0,22773.0,304870.0,72.2,42.3
21.4,19.4,227756.0,55039.0,184597.0,62.4,34.8
95.31,116.05,200383.0,15146.0,204191.0,66.1,39.6
94.76,112.96,219601.0,17012.0,246629.0,66.6,39.1
47.94,46.54,161776.0,21982.0,290728.0,67.2,40.0
18.65,38.11,262888.0,62598.0,135943.0,60.7,32.5
86.33,110.22,175618.0,16310.0,277006.0,68.2,39.3
49.82,56.15,285499.0,14465.0,219708.0,58.9,34.1
